year_month,avg_temp,minimum_temp,maximum_temp,snow_day,rainy_day
Oct-14,15.6,2.7,29,0,6
Nov-14,9,-3.1,22.9,1,9
Dec-14,-2.9,-13.2,7.9,13,10
Jan-15,-0.9,-9.8,9,4,7
Feb-15,1,-13,13,2,7
Mar-15,6.3,-6.9,21.9,2,4
Apr-15,13.3,3.5,28.3,0,11
May-15,18.9,8.3,32.2,0,6
Jun-15,23.6,15.6,34.9,0,11
Jul-15,25.8,18.2,36,0,14
Aug-15,26.3,18.9,34.4,0,10
Sep-15,22.4,14.2,31,0,4
Oct-15,15.5,1.1,26.6,0,7
Nov-15,8.9,-7.3,21,4,14
Dec-15,1.6,-9.5,12.2,7,9
Jan-16,-3.2,-18,9.5,6,4
Feb-16,0.2,-10,14.4,7,8
Mar-16,7,-7.5,21.4,0,5
Apr-16,14.1,5.1,29.6,0,10
May-16,19.6,8.9,31.9,0,9
Jun-16,23.6,17.1,32.2,0,8
Jul-16,26.2,19.8,34.1,0,17
Aug-16,28,16.1,36.6,0,11
Sep-16,23.1,14.3,31.1,0,7
Oct-16,16.1,0.7,29,0,9
Nov-16,6.8,-6.2,18.6,1,11
Dec-16,1.2,-9.8,13.6,7,10
Jan-17,-1.8,-12.6,11.4,8,8
Feb-17,-0.2,-9.3,12.3,3,5
Mar-17,6.3,-5.3,18.9,2,5
Apr-17,13.9,3.1,27.8,0,9
May-17,19.5,10,30.3,0,5
Jun-17,23.3,14.5,34.1,0,7
Jul-17,26.9,21.9,35.4,0,20
Aug-17,25.9,16.1,35.3,0,14
Sep-17,22.1,11.2,31.4,0,5
Oct-17,16.4,2.5,29.4,0,6
Nov-17,5.6,-6.6,18.4,5,8
Dec-17,-1.9,-12.3,8.7,11,10
Jan-18,-4,-17.8,8.7,9,7
Feb-18,-1.6,-13.4,10.4,6,4
Mar-18,8.1,-6.7,22.1,2,9
Apr-18,13,0.1,26.3,1,11
May-18,18.2,6.9,29.6,0,11
Jun-18,23.1,16.3,32.9,0,10
Jul-18,27.8,17.7,38.3,0,9
Aug-18,28.8,20.2,39.6,0,15
Sep-18,21.5,10.8,30.9,0,11
Oct-18,13.1,0.7,25.6,0,6
Nov-18,7.8,-3.1,19.4,2,6
Dec-18,-0.6,-14.4,13.5,4,5
Jan-19,-0.9,-10.1,8.5,4,0
Feb-19,1,-10.2,14.5,8,6
Mar-19,7.1,-1.7,17.6,3,5
Apr-19,12.1,0.3,28.2,0,9
May-19,19.4,8.4,33.4,0,3
Jun-19,22.5,14.1,32.8,0,10
Jul-19,25.9,19.3,36.1,0,16
Aug-19,27.2,18.5,36.8,0,13
Sep-19,22.6,13.6,30.5,0,10
Oct-19,16.4,4.7,28.2,0,6
Nov-19,7.6,-4.6,22.1,3,7
Dec-19,1.4,-10.9,12.9,6,13
Jan-20,1.6,-6.5,11.9,4,6
Feb-20,2.5,-11.8,15.6,9,10
Mar-20,7.7,-2.8,20.6,1,5
Apr-20,11.1,1.9,23.8,1,3
May-20,18,9.2,30,0,12
Jun-20,23.9,14.8,35.4,0,11
Jul-20,24.1,17.2,32.9,0,16
Aug-20,26.5,21.5,34.5,0,19
Sep-20,21.4,13.6,29.5,0,11
Oct-20,14.3,3.2,23.6,0,0
Nov-20,8,-3.6,20,0,9
Dec-20,-0.3,-12.9,11.4,6,4
Jan-21,-2.4,-18.6,13.9,9,9
Feb-21,2.7,-10.6,17.4,5,5
Mar-21,9,-1.2,22.9,2,9
Apr-21,14.2,3.1,28.2,0,9
May-21,17.1,7.3,30.8,0,17
Jun-21,22.8,13.3,31.6,0,13
Jul-21,28.1,19.6,36.5,0,8
Aug-21,25.9,18.1,33.7,0,13
Sep-21,22.6,16,30.3,0,8
Oct-21,15.6,1.3,28.8,0,11
Nov-21,8.2,-3.7,21.3,2,6
Dec-21,0.6,-15.5,13.3,6,9
